# Species	Genes	Alg.-Conn.	Human_ERR414243_bin.4.fna.faa	Human_SRR5056681_bin.100.fna.faa	Human_SRR5056817_bin.33.fna.faa	Human_SRR5056841_bin.46.fna.faa	Human_SRR5056944_bin.12.fna.faa	Human_SRR5056994_bin.72.fna.faa	Human_SRR5558136_bin.38.fna.faa	Human_SRR6028624_bin.16.fna.faa	Rumen_CACVNT01.fna.faa	Rumen_CACVQO01.fna.faa	Rumen_CACVRV01.fna.faa	Rumen_CACVSO01.fna.faa	Rumen_CACVSX01.fna.faa	Rumen_CACWHG01.fna.faa	Rumen_CACWMC01.fna.faa	Rumen_CACWMY01.fna.faa	Rumen_CACWPH01.fna.faa	Rumen_CACYST01.fna.faa	Rumen_CADAEW01.fna.faa	Rumen_CADAIA01.fna.faa	Rumen_CADBJG01.fna.faa	Rumen_CADBNS01.fna.faa	baboon1.faa	maccaque1.faa	maccaque2.faa	maccaque3.faa	maccaque4.faa	maccaque5.faa	maccaque6.faa	maccaque7.faa
30	30	0.00741	Human_ERR414243_bin.4.fna_01428	Human_SRR5056681_bin.100.fna_01142	Human_SRR5056817_bin.33.fna_00679	Human_SRR5056841_bin.46.fna_01399	Human_SRR5056944_bin.12.fna_01141	Human_SRR5056994_bin.72.fna_00258	Human_SRR5558136_bin.38.fna_01090	Human_SRR6028624_bin.16.fna_00081	Rumen_CACVNT01.fna_01615	Rumen_CACVQO01.fna_01644	Rumen_CACVRV01.fna_00234	Rumen_CACVSO01.fna_01430	Rumen_CACVSX01.fna_01182	Rumen_CACWHG01.fna_01954	Rumen_CACWMC01.fna_01811	Rumen_CACWMY01.fna_01421	Rumen_CACWPH01.fna_01958	Rumen_CACYST01.fna_01882	Rumen_CADAEW01.fna_01476	Rumen_CADAIA01.fna_00091	Rumen_CADBJG01.fna_01424	Rumen_CADBNS01.fna_00656	baboon1_02034	maccaque1_00879	maccaque2_01645	maccaque3_01893	maccaque4_01634	maccaque5_01622	maccaque6_01777	maccaque7_01830
10	10	0.0295	Human_ERR414243_bin.4.fna_00060	Human_SRR5056681_bin.100.fna_01900	Human_SRR5056817_bin.33.fna_00102	Human_SRR5056841_bin.46.fna_02177	Human_SRR5056944_bin.12.fna_00682	Human_SRR5056994_bin.72.fna_01928	*	Human_SRR6028624_bin.16.fna_00397	Rumen_CACVNT01.fna_00395	Rumen_CACVQO01.fna_00277	*	*	*	*	*	*	*	Rumen_CACYST01.fna_00718	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.0263	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_00394	Rumen_CACVQO01.fna_01535	*	*	Rumen_CACVSX01.fna_02392	*	Rumen_CACWMC01.fna_01182	Rumen_CACWMY01.fna_00878	*	Rumen_CACYST01.fna_00719	Rumen_CADAEW01.fna_00659	Rumen_CADAIA01.fna_02115	*	*	*	*	*	*	*	*	*	*
29	29	0.00998	Human_ERR414243_bin.4.fna_02073	Human_SRR5056681_bin.100.fna_01777	Human_SRR5056817_bin.33.fna_01895	Human_SRR5056841_bin.46.fna_01793	Human_SRR5056944_bin.12.fna_01776	Human_SRR5056994_bin.72.fna_01059	Human_SRR5558136_bin.38.fna_00660	Human_SRR6028624_bin.16.fna_01798	Rumen_CACVNT01.fna_01431	Rumen_CACVQO01.fna_01212	Rumen_CACVRV01.fna_01501	Rumen_CACVSO01.fna_02003	Rumen_CACVSX01.fna_00472	Rumen_CACWHG01.fna_01788	*	Rumen_CACWMY01.fna_00319	Rumen_CACWPH01.fna_01663	Rumen_CACYST01.fna_02675	Rumen_CADAEW01.fna_01596	Rumen_CADAIA01.fna_00925	Rumen_CADBJG01.fna_01399	Rumen_CADBNS01.fna_01241	baboon1_00454	maccaque1_00810	maccaque2_00897	maccaque3_01095	maccaque4_01417	maccaque5_01143	maccaque6_01778	maccaque7_01290
7	7	0.0125	*	*	*	*	*	*	*	Human_SRR6028624_bin.16.fna_01439	*	*	*	*	*	*	*	*	*	Rumen_CACYST01.fna_01708	*	*	*	*	*	*	maccaque2_01586	maccaque3_00088	*	maccaque5_00880	maccaque6_00055	maccaque7_00046
14	14	0.0138	*	Human_SRR5056681_bin.100.fna_00009	Human_SRR5056817_bin.33.fna_00833	Human_SRR5056841_bin.46.fna_00547	Human_SRR5056944_bin.12.fna_00007	Human_SRR5056994_bin.72.fna_01551	*	Human_SRR6028624_bin.16.fna_01136	*	*	*	Rumen_CACVSO01.fna_00390	*	Rumen_CACWHG01.fna_00609	Rumen_CACWMC01.fna_00496	Rumen_CACWMY01.fna_00036	*	Rumen_CACYST01.fna_02120	Rumen_CADAEW01.fna_01119	Rumen_CADAIA01.fna_00821	*	Rumen_CADBNS01.fna_01292	*	*	*	*	*	*	*	*
28	28	0.0309	Human_ERR414243_bin.4.fna_01619	Human_SRR5056681_bin.100.fna_00620	Human_SRR5056817_bin.33.fna_00223	Human_SRR5056841_bin.46.fna_00374	Human_SRR5056944_bin.12.fna_00247	*	Human_SRR5558136_bin.38.fna_01519	Human_SRR6028624_bin.16.fna_02148	Rumen_CACVNT01.fna_00209	Rumen_CACVQO01.fna_01118	Rumen_CACVRV01.fna_02295	Rumen_CACVSO01.fna_01167	Rumen_CACVSX01.fna_02275	Rumen_CACWHG01.fna_01047	Rumen_CACWMC01.fna_01488	Rumen_CACWMY01.fna_02103	Rumen_CACWPH01.fna_01005	*	Rumen_CADAEW01.fna_00542	Rumen_CADAIA01.fna_02217	Rumen_CADBJG01.fna_03254	Rumen_CADBNS01.fna_01310	baboon1_01591	maccaque1_01108	maccaque2_01237	maccaque3_01240	maccaque4_01401	maccaque5_01593	maccaque6_00980	maccaque7_01374
5	5	0.0523	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACVSO01.fna_00982	*	Rumen_CACWHG01.fna_02119	Rumen_CACWMC01.fna_01131	*	*	*	Rumen_CADAEW01.fna_00829	Rumen_CADAIA01.fna_00159	*	*	*	*	*	*	*	*	*	*
4	4	0.0877	*	*	*	*	*	*	*	*	*	Rumen_CACVQO01.fna_01008	*	*	*	*	*	*	*	Rumen_CACYST01.fna_01603	*	Rumen_CADAIA01.fna_02353	*	Rumen_CADBNS01.fna_00671	*	*	*	*	*	*	*	*
8	8	0.0251	*	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACWHG01.fna_01009	Rumen_CACWMC01.fna_01498	Rumen_CACWMY01.fna_01162	Rumen_CACWPH01.fna_01847	*	Rumen_CADAEW01.fna_01722	Rumen_CADAIA01.fna_02249	*	Rumen_CADBNS01.fna_00594	*	*	*	*	*	maccaque5_01820	*	*
4	4	0.0511	*	*	*	*	*	*	*	*	*	Rumen_CACVQO01.fna_00077	*	*	Rumen_CACVSX01.fna_01190	Rumen_CACWHG01.fna_01971	*	*	*	*	*	Rumen_CADAIA01.fna_02255	*	*	*	*	*	*	*	*	*	*
3	4	0.107	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACVSX01.fna_01531	Rumen_CACWHG01.fna_01886	*	*	*	Rumen_CACYST01.fna_00933,Rumen_CACYST01.fna_00995	*	*	*	*	*	*	*	*	*	*	*	*
8	8	0.0634	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_02754	*	Rumen_CACVRV01.fna_01590	*	Rumen_CACVSX01.fna_01027	Rumen_CACWHG01.fna_01125	Rumen_CACWMC01.fna_01573	*	*	*	Rumen_CADAEW01.fna_00887	Rumen_CADAIA01.fna_00775	Rumen_CADBJG01.fna_00624	*	*	*	*	*	*	*	*	*
3	4	0.127	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACVSX01.fna_00447	*	*	*	Rumen_CACWPH01.fna_01093	Rumen_CACYST01.fna_01257,Rumen_CACYST01.fna_00272	*	*	*	*	*	*	*	*	*	*	*	*
3	4	0.103	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACVSO01.fna_01578,Rumen_CACVSO01.fna_01576	*	*	*	*	*	*	Rumen_CADAEW01.fna_01226	*	Rumen_CADBJG01.fna_01461	*	*	*	*	*	*	*	*	*
8	8	0.023	*	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACWHG01.fna_01310	Rumen_CACWMC01.fna_01240	Rumen_CACWMY01.fna_00631	*	*	Rumen_CADAEW01.fna_01997	Rumen_CADAIA01.fna_00507	Rumen_CADBJG01.fna_03126	*	*	*	*	maccaque3_00122	*	*	*	maccaque7_00012
5	5	0.0677	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_02610	*	*	*	Rumen_CACVSX01.fna_02669	*	*	*	*	*	*	*	*	Rumen_CADBNS01.fna_01870	*	*	maccaque2_00445	*	*	*	maccaque6_01863	*
8	8	0.0316	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01960	*	*	*	Rumen_CACVSX01.fna_01832	*	Rumen_CACWMC01.fna_01010	Rumen_CACWMY01.fna_02214	*	Rumen_CACYST01.fna_00403	Rumen_CADAEW01.fna_00835	Rumen_CADAIA01.fna_00067	*	Rumen_CADBNS01.fna_00921	*	*	*	*	*	*	*	*
3	4	0.144	Human_ERR414243_bin.4.fna_00836	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACWHG01.fna_01968,Rumen_CACWHG01.fna_00603	*	*	*	*	*	Rumen_CADAIA01.fna_02271	*	*	*	*	*	*	*	*	*	*
3	4	0.108	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACWPH01.fna_02338	*	*	*	Rumen_CADBJG01.fna_01806,Rumen_CADBJG01.fna_03334	*	*	*	maccaque2_01663	*	*	*	*	*
5	5	0.0282	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01035	*	*	*	Rumen_CACVSX01.fna_01245	*	Rumen_CACWMC01.fna_00805	*	*	Rumen_CACYST01.fna_02895	*	Rumen_CADAIA01.fna_00200	*	*	*	*	*	*	*	*	*	*
5	5	0.0148	*	*	*	*	*	*	*	*	*	Rumen_CACVQO01.fna_00361	*	*	Rumen_CACVSX01.fna_01456	*	*	*	Rumen_CACWPH01.fna_00375	Rumen_CACYST01.fna_01541	*	*	Rumen_CADBJG01.fna_00933	*	*	*	*	*	*	*	*	*
8	8	0.0117	Human_ERR414243_bin.4.fna_00457	*	*	*	*	*	*	*	*	*	Rumen_CACVRV01.fna_01151	Rumen_CACVSO01.fna_01633	Rumen_CACVSX01.fna_00935	Rumen_CACWHG01.fna_00754	*	*	Rumen_CACWPH01.fna_01223	Rumen_CACYST01.fna_00093	*	*	Rumen_CADBJG01.fna_00051	*	*	*	*	*	*	*	*	*
4	4	0.025	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_02229	*	*	Rumen_CACVSO01.fna_01785	*	*	*	*	*	*	Rumen_CADAEW01.fna_00927	Rumen_CADAIA01.fna_02147	*	*	*	*	*	*	*	*	*	*
5	5	0.122	Human_ERR414243_bin.4.fna_01473	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_00635	*	*	*	*	Rumen_CACWHG01.fna_02069	*	*	Rumen_CACWPH01.fna_02068	*	*	*	Rumen_CADBJG01.fna_01610	*	*	*	*	*	*	*	*	*
15	15	0.00664	*	Human_SRR5056681_bin.100.fna_01561	Human_SRR5056817_bin.33.fna_01514	Human_SRR5056841_bin.46.fna_01534	Human_SRR5056944_bin.12.fna_01584	Human_SRR5056994_bin.72.fna_01332	Human_SRR5558136_bin.38.fna_00582	Human_SRR6028624_bin.16.fna_00884	*	*	*	*	*	*	*	*	*	*	*	*	*	*	baboon1_00297	maccaque1_01549	maccaque2_00403	maccaque3_00438	maccaque4_01385	maccaque5_00932	maccaque6_01235	maccaque7_00355
15	15	0.00216	*	*	*	*	*	*	Human_SRR5558136_bin.38.fna_00251	Human_SRR6028624_bin.16.fna_01485	*	Rumen_CACVQO01.fna_00764	*	Rumen_CACVSO01.fna_02408	*	*	*	*	Rumen_CACWPH01.fna_00741	*	Rumen_CADAEW01.fna_02086	*	*	Rumen_CADBNS01.fna_00265	baboon1_01371	maccaque1_01195	maccaque2_00730	maccaque3_00577	maccaque4_01784	maccaque5_01535	maccaque6_01218	maccaque7_00538
18	18	0.0077	Human_ERR414243_bin.4.fna_02096	Human_SRR5056681_bin.100.fna_00472	Human_SRR5056817_bin.33.fna_00516	Human_SRR5056841_bin.46.fna_01078	Human_SRR5056944_bin.12.fna_00817	Human_SRR5056994_bin.72.fna_00590	*	Human_SRR6028624_bin.16.fna_02313	Rumen_CACVNT01.fna_00551	Rumen_CACVQO01.fna_01018	*	Rumen_CACVSO01.fna_00598	Rumen_CACVSX01.fna_01949	Rumen_CACWHG01.fna_00899	Rumen_CACWMC01.fna_01334	Rumen_CACWMY01.fna_00823	*	Rumen_CACYST01.fna_00548	Rumen_CADAEW01.fna_01195	*	Rumen_CADBJG01.fna_02433	Rumen_CADBNS01.fna_00550	*	*	*	*	*	*	*	*
25	25	0.0217	*	Human_SRR5056681_bin.100.fna_01659	Human_SRR5056817_bin.33.fna_01701	Human_SRR5056841_bin.46.fna_01243	Human_SRR5056944_bin.12.fna_01597	Human_SRR5056994_bin.72.fna_01389	*	Human_SRR6028624_bin.16.fna_02269	*	Rumen_CACVQO01.fna_01316	Rumen_CACVRV01.fna_02078	Rumen_CACVSO01.fna_02138	Rumen_CACVSX01.fna_02595	*	Rumen_CACWMC01.fna_02124	Rumen_CACWMY01.fna_00435	Rumen_CACWPH01.fna_02113	Rumen_CACYST01.fna_01092	Rumen_CADAEW01.fna_00402	Rumen_CADAIA01.fna_01390	Rumen_CADBJG01.fna_01941	*	baboon1_00921	maccaque1_01623	maccaque2_01697	maccaque3_00636	maccaque4_01012	maccaque5_01669	maccaque6_00577	maccaque7_00712
10	10	0.0264	*	Human_SRR5056681_bin.100.fna_00844	Human_SRR5056817_bin.33.fna_00326	*	Human_SRR5056944_bin.12.fna_00541	*	*	Human_SRR6028624_bin.16.fna_01097	*	*	Rumen_CACVRV01.fna_02229	Rumen_CACVSO01.fna_02236	*	*	*	*	*	Rumen_CACYST01.fna_01814	Rumen_CADAEW01.fna_02227	Rumen_CADAIA01.fna_01283	Rumen_CADBJG01.fna_01923	*	*	*	*	*	*	*	*	*
22	22	0.00769	Human_ERR414243_bin.4.fna_01577	*	Human_SRR5056817_bin.33.fna_00778	Human_SRR5056841_bin.46.fna_00651	Human_SRR5056944_bin.12.fna_01110	Human_SRR5056994_bin.72.fna_00873	*	Human_SRR6028624_bin.16.fna_00131	Rumen_CACVNT01.fna_00440	Rumen_CACVQO01.fna_00676	Rumen_CACVRV01.fna_01266	*	Rumen_CACVSX01.fna_00107	*	*	*	Rumen_CACWPH01.fna_00795	Rumen_CACYST01.fna_00651	*	*	Rumen_CADBJG01.fna_00286	Rumen_CADBNS01.fna_00062	baboon1_01615	maccaque1_01898	maccaque2_01625	maccaque3_01875	maccaque4_01769	maccaque5_01352	maccaque6_00631	maccaque7_01803
13	13	0.00787	*	Human_SRR5056681_bin.100.fna_01419	Human_SRR5056817_bin.33.fna_01944	Human_SRR5056841_bin.46.fna_00980	Human_SRR5056944_bin.12.fna_01822	Human_SRR5056994_bin.72.fna_01614	*	*	Rumen_CACVNT01.fna_01375	*	Rumen_CACVRV01.fna_00828	*	*	*	Rumen_CACWMC01.fna_02004	Rumen_CACWMY01.fna_01495	Rumen_CACWPH01.fna_01175	*	Rumen_CADAEW01.fna_00802	Rumen_CADAIA01.fna_00329	*	Rumen_CADBNS01.fna_01719	*	*	*	*	*	*	*	*
13	13	0.0175	*	Human_SRR5056681_bin.100.fna_00143	Human_SRR5056817_bin.33.fna_00770	Human_SRR5056841_bin.46.fna_00643	Human_SRR5056944_bin.12.fna_00141	Human_SRR5056994_bin.72.fna_01099	*	Human_SRR6028624_bin.16.fna_01755	Rumen_CACVNT01.fna_00363	*	*	Rumen_CACVSO01.fna_01221	*	Rumen_CACWHG01.fna_02386	Rumen_CACWMC01.fna_00426	Rumen_CACWMY01.fna_01637	*	*	Rumen_CADAEW01.fna_01914	Rumen_CADAIA01.fna_01063	*	*	*	*	*	*	*	*	*	*
15	15	0.034	Human_ERR414243_bin.4.fna_01685	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01523	Rumen_CACVQO01.fna_01669	Rumen_CACVRV01.fna_01816	Rumen_CACVSO01.fna_00813	Rumen_CACVSX01.fna_02647	Rumen_CACWHG01.fna_02351	Rumen_CACWMC01.fna_02126	Rumen_CACWMY01.fna_00018	Rumen_CACWPH01.fna_01533	Rumen_CACYST01.fna_01927	Rumen_CADAEW01.fna_00813	Rumen_CADAIA01.fna_00803	Rumen_CADBJG01.fna_02679	Rumen_CADBNS01.fna_01934	*	*	*	*	*	*	*	*
29	29	0.0406	Human_ERR414243_bin.4.fna_01225	Human_SRR5056681_bin.100.fna_00993	Human_SRR5056817_bin.33.fna_01665	Human_SRR5056841_bin.46.fna_01967	Human_SRR5056944_bin.12.fna_01679	Human_SRR5056994_bin.72.fna_00499	Human_SRR5558136_bin.38.fna_01293	Human_SRR6028624_bin.16.fna_01784	Rumen_CACVNT01.fna_02263	Rumen_CACVQO01.fna_00383	Rumen_CACVRV01.fna_01678	Rumen_CACVSO01.fna_00656	Rumen_CACVSX01.fna_01671	Rumen_CACWHG01.fna_01084	Rumen_CACWMC01.fna_00669	*	Rumen_CACWPH01.fna_00352	Rumen_CACYST01.fna_00843	Rumen_CADAEW01.fna_00134	Rumen_CADAIA01.fna_01838	Rumen_CADBJG01.fna_01604	Rumen_CADBNS01.fna_01850	baboon1_00531	maccaque1_00669	maccaque2_01027	maccaque3_01466	maccaque4_00335	maccaque5_01086	maccaque6_00069	maccaque7_01511
7	7	0.0248	*	*	*	*	*	*	*	*	*	*	*	Rumen_CACVSO01.fna_00640	Rumen_CACVSX01.fna_02239	Rumen_CACWHG01.fna_01146	Rumen_CACWMC01.fna_01569	Rumen_CACWMY01.fna_01671	*	Rumen_CACYST01.fna_01965	*	Rumen_CADAIA01.fna_02106	*	*	*	*	*	*	*	*	*	*
15	15	0.0397	*	Human_SRR5056681_bin.100.fna_01794	Human_SRR5056817_bin.33.fna_01931	Human_SRR5056841_bin.46.fna_01810	Human_SRR5056944_bin.12.fna_01790	Human_SRR5056994_bin.72.fna_01530	Human_SRR5558136_bin.38.fna_00274	Human_SRR6028624_bin.16.fna_00652	*	*	*	*	*	*	*	*	*	*	*	*	*	*	baboon1_00207	maccaque1_00061	maccaque2_00032	maccaque3_00189	maccaque4_00203	maccaque5_00136	maccaque6_00727	maccaque7_00189
8	8	0.081	*	*	Human_SRR5056817_bin.33.fna_02032	*	Human_SRR5056944_bin.12.fna_02104	*	*	Human_SRR6028624_bin.16.fna_02210	Rumen_CACVNT01.fna_00030	*	*	Rumen_CACVSO01.fna_00087	Rumen_CACVSX01.fna_00179	Rumen_CACWHG01.fna_00131	*	*	*	Rumen_CACYST01.fna_00797	*	*	*	*	*	*	*	*	*	*	*	*
7	7	0.0238	*	*	*	*	*	*	*	*	Rumen_CACVNT01.fna_01303	*	*	Rumen_CACVSO01.fna_00950	*	Rumen_CACWHG01.fna_01476	Rumen_CACWMC01.fna_01159	Rumen_CACWMY01.fna_01824	*	*	Rumen_CADAEW01.fna_02109	Rumen_CADAIA01.fna_02172	*	*	*	*	*	*	*	*	*	*
7	7	0.0471	*	*	*	*	*	*	*	Human_SRR6028624_bin.16.fna_02133	Rumen_CACVNT01.fna_02871	*	*	Rumen_CACVSO01.fna_02357	*	Rumen_CACWHG01.fna_02448	*	*	*	Rumen_CACYST01.fna_02955	*	*	Rumen_CADBJG01.fna_01066	*	*	*	*	*	*	*	*	maccaque7_01702
